"","gameId","playId","playDescription","returnerId","yardline_100","net_return","kickLength","exp_yards","actual_decision","return_yardline","no_return_exp","fair_caught_exp","optimal_decision","is_optimal"
"1",2018090600,366,"(9:20) C.Johnston punts 56 yards to ATL 36, Center-R.Lovato. J.Hardy to ATL 41 for 5 yards (K.Grugier-Hill). PENALTY on PHI-S.Gibson, Unsportsmanlike Conduct, 15 yards, enforced at ATL 41.","42450",92,20,56,17.8183333333333,"Returned",52.8463333333333,36.3301737496433,38.21,"Returned",1
"2",2018090600,872,"(:33) C.Johnston punts 65 yards to end zone, Center-R.Lovato, Touchback.","42450",65,NA,65,9.64933333333333,"Let it Go",9.64933333333333,14.8136826009726,13.55,"Let it Go",1
"3",2018090600,973,"(14:18) M.Bosher punts 49 yards to PHI 40, Center-J.Overbaugh, fair catch by D.Sproles.","29957",89,NA,49,7.052,"Fair Caught",45.972,35.7458923564414,41.66,"Returned",0
"4",2018090600,1850,"(1:30) C.Johnston punts 58 yards to ATL 11, Center-R.Lovato, downed by PHI-A.Maddox.","42450",69,NA,58,7.50733333333333,"Let it Go",18.2103333333333,13.4145780907266,12.41,"Returned",0
"5",2018090600,1989,"(:44) M.Bosher punts 57 yards to PHI 17, Center-J.Overbaugh. D.Sproles to PHI 25 for 8 yards (B.Poole). PENALTY on PHI-L.Reynolds, Unnecessary Roughness, 12 yards, enforced at PHI 25.","29957",74,-4,57,7.829,"Returned",24.37,15.9632845546948,18.89,"Returned",1
"6",2018090600,2406,"(12:33) C.Johnston punts 38 yards to ATL 20, Center-R.Lovato, fair catch by J.Hardy.","42450",58,NA,38,5.93833333333333,"Fair Caught",25.3983333333333,12.4158493689307,19.51,"Returned",0
"7",2018090600,2599,"(10:22) M.Bosher punts 46 yards to PHI 28, Center-J.Overbaugh. D.Sproles to PHI 37 for 9 yards (F.Oluokun).","29957",74,9,46,7.41966666666667,"Returned",34.6636666666667,26.7713971590792,28.35,"Returned",1
"8",2018090600,3026,"(2:44) M.Bosher punts 44 yards to PHI 16, Center-J.Overbaugh, downed by ATL-R.Ortiz.","29957",60,NA,44,6.59166666666667,"Let it Go",22.1596666666667,18.6867936622672,25.08,"Fair Caught",0
"9",2018090600,3225,"(:34) M.Bosher punts 38 yards to PHI 32, Center-J.Overbaugh. T.Sullivan MUFFS catch, touched at PHI 32, RECOVERED by ATL-K.Ishmael at PHI 32. K.Ishmael to PHI 32 for no gain (L.Reynolds).","45605",70,NA,38,1.56033333333333,"Returned",32.6963333333333,25.2948852821101,32.14,"Returned",1
"10",2018090600,3736,"(7:42) C.Johnston punts 46 yards to ATL 33, Center-R.Lovato, out of bounds.","42450",79,NA,46,7.368,"Let it Go",39.477,36.7896393468262,38.61,"Returned",0
"11",2018090600,3868,"(5:04) M.Bosher punts 52 yards to PHI 19, Center-J.Overbaugh. D.Sproles to PHI 31 for 12 yards (E.Saubert; K.Ishmael). PENALTY on ATL-E.Saubert, Face Mask (15 Yards), 15 yards, enforced at PHI 31.","29957",71,27,52,10.001,"Returned",28.488,17.1910720107177,20.88,"Returned",1
"12",2018090900,485,"(7:25) (Punt formation) C.Bojorquez punts 46 yards to BAL 26, Center-R.Ferguson. J.Grant to BAL 25 for -1 yards (P.DiMarco).","46532",72,-1,46,2.30233333333333,"Returned",27.6003333333333,23.7440528254101,26.86,"Returned",1
"13",2018090900,575,"(6:37) (Punt formation) S.Koch punts 63 yards to BUF 11, Center-M.Cox. J.Kerley to BUF 15 for 4 yards (T.Bowser, C.Clark).","37228",74,4,63,4.25633333333333,"Returned",14.9593333333333,21.2872856489533,20.27,"Let it Go",0
"14",2018090900,674,"(5:43) (Punt formation) C.Bojorquez punts 51 yards to BAL 31, Center-R.Ferguson. J.Grant to BAL 34 for 3 yards (L.Alexander).","46532",82,3,51,4.47533333333333,"Returned",34.6383333333333,30.2816088244168,31.78,"Returned",1
"15",2018090900,1136,"(14:21) (Punt formation) C.Bojorquez punts 49 yards to BAL 29, Center-R.Ferguson. J.Grant to BUF 20 for 51 yards (L.Alexander).","46532",78,51,49,32.262,"Returned",60.479,24.4138541112399,30.38,"Returned",1
"16",2018090900,1360,"(12:09) (Punt formation) C.Bojorquez punts 50 yards to BAL 29, Center-R.Ferguson. J.Grant to BAL 30 for 1 yard (A.Holmes).","46532",79,1,50,7.57866666666667,"Returned",35.7956666666667,22.4150534697934,28.48,"Returned",1
"17",2018090900,1772,"(7:05) (Punt formation) S.Koch punts 44 yards to BUF 16, Center-M.Cox, downed by BAL-C.Clark.","37228",60,NA,44,7.337,"Let it Go",22.905,14.8744195145941,13.23,"Returned",0
"18",2018090900,3079,"(8:22) (Punt formation) S.Koch punts 46 yards to BUF 31, Center-M.Cox. J.Kerley to BUF 37 for 6 yards (M.Canady).","37228",77,6,46,10.6326666666667,"Returned",40.7956666666667,32.2384885404094,31.82,"Returned",1
"19",2018090900,3655,"(14:47) (Punt formation) S.Koch punts 50 yards to BUF 9, Center-M.Cox. M.Murphy to BUF 18 for 9 yards (M.Canady).","42573",59,9,50,8.309,"Returned",17.066,11.4031559821093,9.93000000000001,"Returned",1
"20",2018090900,3851,"(12:05) (Punt formation) C.Bojorquez punts 54 yards to BAL 11, Center-R.Ferguson. J.Grant to BAL 11 for no gain (T.Jones).","46532",65,0,54,3.35066666666667,"Returned",14.0536666666667,17.6771851710194,24.97,"Fair Caught",0
"21",2018090900,4325,"(3:02) (Punt formation) C.Bojorquez punts 43 yards to BAL 10, Center-R.Ferguson, fair catch by J.Grant.","46532",53,NA,43,7.69766666666667,"Fair Caught",17.4276666666667,13.397229331687,10.06,"Returned",0
"22",2018090900,4464,"(1:36) (Punt formation) S.Koch punts 54 yards to BUF 29, Center-M.Cox, out of bounds.","42573",83,NA,54,13.7793333333333,"Let it Go",41.9963333333333,31.775049467772,34.19,"Returned",0
"23",2018090901,313,"(10:11) (Punt formation) B.Colquitt punts 48 yards to end zone, Center-C.Hughlett, Touchback.","44946",48,NA,48,4.674,"Let it Go",4.674,17.1982996323661,5.22,"Let it Go",1
"24",2018090901,474,"(7:51) J.Berry punts 43 yards to CLE 14, Center-K.Canaday, downed by PIT-C.Sutton.","46174",57,NA,43,9.85966666666667,"Let it Go",23.4816666666667,15.6709062438422,21.81,"Returned",0
"25",2018090901,588,"(6:34) (Punt formation) B.Colquitt punts 47 yards to PIT 28, Center-C.Hughlett. R.Switzer to 50 for 22 yards (B.Boddy-Calhoun).","44946",75,22,47,15.0843333333333,"Returned",42.3283333333333,24.8931262354441,29.11,"Returned",1
"26",2018090901,887,"(2:07) (Punt formation) B.Colquitt punts 52 yards to PIT 22, Center-C.Hughlett. R.Switzer to CLE 44 for 34 yards (N.Chubb). PENALTY on PIT-D.Heyward-Bey, Offensive Holding, 10 yards, enforced at PIT 22. Penalty on PIT-R.Nix, Offensive Holding, declined.","44946",74,-10,52,1.53,"Returned",22.936,14.7718293029227,23.35,"Fair Caught",0
"27",2018090901,1491,"(7:39) B.Colquitt punts 39 yards to PIT 8, Center-C.Hughlett. R.Switzer to PIT 12 for 4 yards (D.Rice).","44946",47,4,39,5.243,"Returned",13.027,11.5602999492772,10.18,"Returned",1
"28",2018090901,1723,"(2:43) B.Colquitt punts 37 yards to PIT 9, Center-C.Hughlett, downed by CLE-T.Carrie.","44946",46,NA,37,6.65733333333333,"Let it Go",15.4143333333333,7.33183127718041,10.17,"Returned",0
"29",2018090901,2632,"(6:18) (Punt formation) B.Colquitt punts 45 yards to PIT 41, Center-C.Hughlett. R.Switzer to CLE 39 for 20 yards (D.Kindred).","44946",86,20,45,9.073,"Returned",48.966,31.2722101098978,44.45,"Returned",1
"30",2018090901,2907,"(3:35) (Punt formation) B.Colquitt punts 33 yards to PIT 14, Center-C.Hughlett, fair catch by R.Switzer.","44946",47,NA,33,2.909,"Fair Caught",16.531,12.9254438497869,16,"Returned",0
"31",2018090901,3215,"(12:15) J.Berry punts 22 yards to CLE 12, Center-K.Canaday, fair catch by J.Peppers.","44837",34,NA,22,1.151,"Fair Caught",12.827,10.2726461654684,11.16,"Returned",0
"32",2018090901,3349,"(10:58) B.Colquitt punts 57 yards to PIT 14, Center-C.Hughlett, out of bounds.","44946",71,NA,57,6.83733333333333,"Let it Go",20.4593333333333,16.3496021545393,19.92,"Returned",0
"33",2018090901,3463,"(8:52) J.Berry punts 36 yards to PIT 47, Center-K.Canaday, downed by PIT-S.Davis. Pittsburgh challenged the kick downed ruling, and the play was Upheld. The ruling on the field stands. (Timeout #1 at 08:42.)","46174",89,NA,36,8.999,"Let it Go",60.568,47.8974972809687,60.62,"Fair Caught",0
"34",2018090901,3960,"(5:22) B.Colquitt punts 34 yards to PIT 5, Center-C.Hughlett, out of bounds.","44946",39,NA,34,4.36933333333333,"Let it Go",9.23433333333333,7.52183548678815,7.52,"Returned",0
